# taxa  Frequency(n)   propn
#  885   00000000010000000000   1   
#  886   00000000010000000000   1   
#  887   00000000010000000000   1   
#  888   00000000010000000000   1   
#  889   00000000010000000000   1   
#  890   00000000010000000000   1   
#  891   00000000010000000000   1   
#  892   00000000010000000000   1   
#  893   00000000010000000000   1   
#  894   00000000010000000000   1   
#  895   00000000010000000000   1   
#  896   00000000010000000000   1   
#  897   00000000010000000000   1   
#  898   00000000010000000000   1   
#  899   00000000010000000000   1   
#  900   00000000010000000000   1   
#  901   00000000010000000000   1   
#  902   00000000010000000000   1   
#  903   00000000010000000000   1   
#  904   00000000010000000000   1   
#  905   00000000010000000000   1   
#  906   00000000010000000000   1   
#  907   00000000010000000000   1   
#  908   00000000010000000000   1   
#  909   00000000010000000000   1   
#  910   00000000010000000000   1   
#  911   00000000010000000000   1   
#  912   00000000010000000000   1   
